"STOP_ID","AGENCY","AGENCY_DESC","FEED_ID"
35,14,"Ride Cxn","RIDECONNECTION"
501,14,"Ride Cxn","RIDECONNECTION"
1026,1,"C-Tran","CTRAN"
1241,15,"Mult Co","MULT"
1351,13,"Clack Co","CLACKAMAS"
1385,13,"Clack Co","CLACKAMAS"
1404,13,"Clack Co","CLACKAMAS"
1555,3,"SAM","SAM"
1556,3,"SAM","SAM"
1557,3,"SAM","SAM"
1558,3,"SAM","SAM"
1559,3,"SAM","SAM"
1560,3,"SAM","SAM"
1561,3,"SAM","SAM"
1562,3,"SAM","SAM"
1563,3,"SAM","SAM"
1564,3,"SAM","SAM"
1565,3,"SAM","SAM"
1566,3,"SAM","SAM"
1567,3,"SAM","SAM"
1568,3,"SAM","SAM"
1624,7,"WPTMA","WAPARK"
2837,13,"Clack Co","CLACKAMAS"
2841,13,"Clack Co","CLACKAMAS"
2868,13,"Clack Co","CLACKAMAS"
2888,13,"Clack Co","CLACKAMAS"
2891,13,"Clack Co","CLACKAMAS"
3020,13,"Clack Co","CLACKAMAS"
3024,13,"Clack Co","CLACKAMAS"
3147,15,"Mult Co","MULT"
3148,15,"Mult Co","MULT"
3210,15,"Mult Co","MULT"
3277,7,"WPTMA","WAPARK"
3291,7,"WPTMA","WAPARK"
3410,13,"Clack Co","CLACKAMAS"
3414,13,"Clack Co","CLACKAMAS"
3720,3,"SAM","SAM"
3778,14,"Ride Cxn","RIDECONNECTION"
3842,13,"Clack Co","CLACKAMAS"
3990,13,"Clack Co","CLACKAMAS"
3994,13,"Clack Co","CLACKAMAS"
4260,6,"YCTA","YAMHILL"
4289,14,"Ride Cxn","RIDECONNECTION"
4316,6,"YCTA","YAMHILL"
4351,7,"WPTMA","WAPARK"
4518,3,"SAM","SAM"
4520,3,"SAM","SAM"
4521,3,"SAM","SAM"
4528,3,"SAM","SAM"
4529,3,"SAM","SAM"
4531,3,"SAM","SAM"
4545,3,"SAM","SAM"
4546,3,"SAM","SAM"
4638,3,"SAM","SAM"
4639,3,"SAM","SAM"
4770,15,"Mult Co","MULT"
5027,1,"C-Tran","CTRAN"
5028,1,"C-Tran","CTRAN"
5032,1,"C-Tran","CTRAN"
5359,5,"CC Rider","CCRIDER"
5975,1,"C-Tran","CTRAN"
6114,13,"Clack Co","CLACKAMAS"
6115,13,"Clack Co","CLACKAMAS"
6121,13,"Clack Co","CLACKAMAS"
6458,5,"CC Rider","CCRIDER"
7602,1,"C-Tran","CTRAN"
7612,1,"C-Tran","CTRAN"
7620,13,"Clack Co","CLACKAMAS"
7625,1,"C-Tran","CTRAN"
7745,3,"SAM","SAM"
7750,3,"SAM","SAM"
7765,1,"C-Tran","CTRAN"
7770,3,"SAM","SAM"
7772,1,"C-Tran","CTRAN"
7782,1,"C-Tran","CTRAN"
7807,1,"C-Tran","CTRAN"
8071,13,"Clack Co","CLACKAMAS"
8073,13,"Clack Co","CLACKAMAS"
8079,13,"Clack Co","CLACKAMAS"
8082,13,"Clack Co","CLACKAMAS"
8083,13,"Clack Co","CLACKAMAS"
8084,13,"Clack Co","CLACKAMAS"
8086,13,"Clack Co","CLACKAMAS"
8249,14,"Ride Cxn","RIDECONNECTION"
8285,14,"Ride Cxn","RIDECONNECTION"
8315,3,"SAM","SAM"
8430,13,"Clack Co","CLACKAMAS"
8437,5,"CC Rider","CCRIDER"
8442,3,"SAM","SAM"
8455,1,"C-Tran","CTRAN"
8461,3,"SAM","SAM"
8685,3,"SAM","SAM"
8722,3,"SAM","SAM"
8723,3,"SAM","SAM"
8838,3,"SAM","SAM"
8857,3,"SAM","SAM"
8886,1,"C-Tran","CTRAN"
8993,3,"SAM","SAM"
8995,3,"SAM","SAM"
9005,13,"Clack Co","CLACKAMAS"
9042,13,"Clack Co","CLACKAMAS"
9105,15,"Mult Co","MULT"
9106,15,"Mult Co","MULT"
9301,1,"C-Tran","CTRAN"
9430,3,"SAM","SAM"
9472,11,"CAT (Gorge)","CAT"
9481,11,"CAT (Gorge)","CAT"
9484,2,"SMART","SMART"
9488,1,"C-Tran","CTRAN"
9517,13,"Clack Co","CLACKAMAS"
9520,3,"SAM","SAM"
9521,3,"SAM","SAM"
9561,3,"SAM","SAM"
9562,3,"SAM","SAM"
9619,15,"Mult Co","MULT"
9923,14,"Ride Cxn","RIDECONNECTION"
10138,3,"SAM","SAM"
10139,3,"SAM","SAM"
10191,11,"CAT (Gorge)","CAT"
10214,3,"SAM","SAM"
10216,3,"SAM","SAM"
10234,13,"Clack Co","CLACKAMAS"
10235,13,"Clack Co","CLACKAMAS"
10275,3,"SAM","SAM"
10300,7,"WPTMA","WAPARK"
10612,1,"C-Tran","CTRAN"
10642,1,"C-Tran","CTRAN"
10732,15,"Mult Co","MULT"
10733,15,"Mult Co","MULT"
10734,15,"Mult Co","MULT"
10835,3,"SAM","SAM"
10836,3,"SAM","SAM"
10856,1,"C-Tran","CTRAN"
10856,15,"Mult Co","MULT"
10859,3,"SAM","SAM"
11009,15,"Mult Co","MULT"
11091,7,"WPTMA","WAPARK"
11151,7,"WPTMA","WAPARK"
11453,3,"SAM","SAM"
11454,3,"SAM","SAM"
11490,5,"CC Rider","CCRIDER"
11520,3,"SAM","SAM"
11814,1,"C-Tran","CTRAN"
11932,13,"Clack Co","CLACKAMAS"
12754,5,"CC Rider","CCRIDER"
12919,1,"C-Tran","CTRAN"
12921,3,"SAM","SAM"
12922,3,"SAM","SAM"
13033,3,"SAM","SAM"
13077,3,"SAM","SAM"
13247,3,"SAM","SAM"
13248,3,"SAM","SAM"
13253,7,"WPTMA","WAPARK"
13473,3,"SAM","SAM"
13474,3,"SAM","SAM"
13484,12,"CAT (Canby)","CANBY"
13484,13,"Clack Co","CLACKAMAS"
13504,1,"C-Tran","CTRAN"
13566,4,"The Wave","CCRIDER"
13592,13,"Clack Co","CLACKAMAS"
13629,1,"C-Tran","CTRAN"
13656,6,"YCTA","YAMHILL"
13748,1,"C-Tran","CTRAN"
13885,3,"SAM","SAM"
13887,3,"SAM","SAM"
13889,3,"SAM","SAM"
13890,3,"SAM","SAM"
13913,15,"Mult Co","MULT"
14019,13,"Clack Co","CLACKAMAS"
14019,16,"CCC Xpress","CLACKAMAS"
14029,3,"SAM","SAM"
14030,3,"SAM","SAM"
14055,3,"SAM","SAM"
